ID,Latitude,Longitude
729,24.0,73.5
730,24.5,73.5
731,25.0,73.5
732,25.5,73.5
733,26.0,73.5
734,26.5,73.5
735,27.0,73.5
736,27.5,73.5
737,28.0,73.5
738,28.5,73.5
739,29.0,73.5
740,29.5,73.5
741,30.0,73.5
742,30.5,73.5
743,31.0,73.5
744,31.5,73.5
745,32.0,73.5
746,32.5,73.5
747,33.0,73.5
748,33.5,73.5
749,34.0,73.5
750,34.5,73.5
751,35.0,73.5
752,35.5,73.5
753,36.0,73.5
754,36.5,73.5
755,37.0,73.5
756,6.0,74.0
757,6.5,74.0
758,7.0,74.0
759,7.5,74.0
760,8.0,74.0
761,8.5,74.0
762,9.0,74.0
763,9.5,74.0
764,10.0,74.0
765,10.5,74.0
766,11.0,74.0
767,11.5,74.0
768,12.0,74.0
769,12.5,74.0
770,13.0,74.0
771,13.5,74.0
772,14.0,74.0
773,14.5,74.0
774,15.0,74.0
775,15.5,74.0
776,16.0,74.0
777,16.5,74.0
778,17.0,74.0
779,17.5,74.0
780,18.0,74.0
781,18.5,74.0
782,19.0,74.0
783,19.5,74.0
784,20.0,74.0
785,20.5,74.0
786,21.0,74.0
787,21.5,74.0
788,22.0,74.0
789,22.5,74.0
790,23.0,74.0
791,23.5,74.0
792,24.0,74.0
793,24.5,74.0
794,25.0,74.0
795,25.5,74.0
796,26.0,74.0
797,26.5,74.0
798,27.0,74.0
799,27.5,74.0
800,28.0,74.0
801,28.5,74.0
802,29.0,74.0
803,29.5,74.0
804,30.0,74.0
805,30.5,74.0
806,31.0,74.0
807,31.5,74.0
808,32.0,74.0
809,32.5,74.0
810,33.0,74.0
811,33.5,74.0
812,34.0,74.0
813,34.5,74.0
814,35.0,74.0
815,35.5,74.0
816,36.0,74.0
817,36.5,74.0
818,37.0,74.0
819,6.0,74.5
820,6.5,74.5
821,7.0,74.5
822,7.5,74.5
823,8.0,74.5
824,8.5,74.5
825,9.0,74.5
826,9.5,74.5
827,10.0,74.5
828,10.5,74.5
829,11.0,74.5
830,11.5,74.5
831,12.0,74.5
832,12.5,74.5
833,13.0,74.5
834,13.5,74.5
835,14.0,74.5
836,14.5,74.5
837,15.0,74.5
838,15.5,74.5
839,16.0,74.5
840,16.5,74.5
841,17.0,74.5
842,17.5,74.5
843,18.0,74.5
844,18.5,74.5
845,19.0,74.5
846,19.5,74.5
847,20.0,74.5
848,20.5,74.5
849,21.0,74.5
850,21.5,74.5
851,22.0,74.5
852,22.5,74.5
853,23.0,74.5
854,23.5,74.5
855,24.0,74.5
856,24.5,74.5
